iter	RMSE
0	264.3748985
1	241.0694986
2	225.3373871
3	215.1562371
4	211.6895885
5	205.2483098
6	201.8011847
7	198.2858952
8	196.4430619
9	195.4507907
10	195.0903675
11	194.6753612
12	193.8874474
13	192.8768627
14	192.2756587
15	191.5866717
16	190.8622077
17	190.686693
18	190.2405608
19	189.3350168
20	189.0955835
21	188.7819621
22	188.2049041
23	187.4591709
24	187.3197334
25	187.0880085
26	186.4929145
27	186.1276427
28	185.4541097
29	184.9879834
30	184.2973243
31	184.2866248
32	183.8677327
33	183.8564918
34	183.3851482
35	182.964945
36	182.7433168
37	182.3818689
38	182.0535299
39	181.9024853
40	181.809275
41	181.6080477
42	181.4746324
43	181.2704031
44	181.0021422
45	180.889648
46	180.8429972
47	180.7869979
48	180.7825396
49	180.5457147
50	180.3846562
51	180.181696
52	180.0862184
53	180.0742413
54	179.9485274
55	179.7199569
56	179.7169083
57	179.584823
58	179.5823588
59	179.4546252
60	179.4212142
61	179.3100943
62	179.2220096
63	179.2090195
64	179.1455661
65	179.0514767
66	178.9011159
67	178.8525953
68	178.7458942
69	178.7442155
70	178.6303037
71	178.6277575
72	178.5987498
73	178.5425287
74	178.5202752
75	178.4522064
76	178.378973
77	178.3781199
78	178.2949069
79	178.2633677
80	178.2011263
81	178.1648401
82	178.1185044
83	178.0737215
84	178.014078
85	177.9930926
86	177.9378556
87	177.9213402
88	177.8735396
89	177.838637
90	177.8011795
91	177.7024792
92	177.681666
93	177.6440542
94	177.6044178
95	177.541504
96	177.5244944
97	177.4987426
98	177.4983568
99	177.4776053
