iter	Passed	Remaining
0	139	13856
1	141	6944
2	142	4623
3	143	3448
4	145	2767
5	148	2332
6	149	1986
7	150	1726
8	150	1523
9	151	1363
10	151	1227
11	152	1120
12	153	1026
13	155	953
14	156	889
15	158	833
16	162	793
17	164	749
18	169	722
19	171	686
20	174	656
21	175	622
22	178	597
23	180	571
24	182	546
25	184	525
26	187	505
27	189	487
28	190	465
29	191	445
30	191	426
31	192	408
32	192	391
33	193	375
34	193	360
35	194	346
36	195	332
37	196	320
38	196	307
39	197	296
40	198	285
41	199	275
42	200	265
43	200	255
44	201	246
45	202	237
46	203	229
47	203	220
48	204	212
49	205	205
50	205	197
51	206	190
52	207	183
53	209	178
54	214	175
55	217	171
56	218	164
57	218	158
58	219	152
59	219	146
60	220	141
61	221	135
62	221	130
63	222	125
64	223	120
65	224	115
66	225	110
67	225	106
68	226	101
69	226	97
70	227	92
71	228	88
72	228	84
73	229	80
74	230	76
75	230	72
76	231	69
77	232	65
78	232	61
79	233	58
80	234	54
81	234	51
82	235	48
83	236	45
84	237	41
85	237	38
86	238	35
87	239	32
88	240	29
89	240	26
90	241	23
91	242	21
92	243	18
93	243	15
94	244	12
95	245	10
96	245	7
97	246	5
98	246	2
99	247	0
